region,year,gender,age_group,im,outcome,af_entire_1
Canada,2007,m,15-34,_12,Morbidity,0.06585796379612181
Canada,2007,m,15-34,_23,Morbidity,0.2295450509085517
Canada,2007,m,15-34,_24,Morbidity,0.19096232692715523
Canada,2007,m,15-34,_25,Morbidity,0.08535497094176085
Canada,2007,m,15-34,_31,Morbidity,0.03006266078202305
Canada,2007,m,15-34,_51,Morbidity,0.23266245476646194
Canada,2007,m,15-34,_52,Morbidity,0.04686105244077346
Canada,2007,m,15-34,_55,Morbidity,0.21717316990377433
Canada,2007,m,15-34,_56,Morbidity,0.02000851327011537
Canada,2007,m,15-34,_57,Morbidity,0.495470761275597
Canada,2007,m,15-34,_62,Morbidity,0.495470761275597
Canada,2007,m,15-34,_63,Morbidity,0.3804013719036593
Canada,2007,m,15-34,_12,Mortality,0.06585796379612181
Canada,2007,m,15-34,_23,Mortality,0.2295450509085517
Canada,2007,m,15-34,_24,Mortality,0.19096232692715523
Canada,2007,m,15-34,_25,Mortality,0.08535497094176085
Canada,2007,m,15-34,_31,Mortality,0.03006266078202305
Canada,2007,m,15-34,_51,Mortality,0.23266245476646194
Canada,2007,m,15-34,_52,Mortality,0.07122667427214498
Canada,2007,m,15-34,_55,Mortality,0.19648864859929066
Canada,2007,m,15-34,_56,Mortality,0.02823727254749496
Canada,2007,m,15-34,_57,Mortality,0.7320752734990817
Canada,2007,m,15-34,_62,Mortality,0.7320752734990817
Canada,2007,m,15-34,_63,Mortality,0.3804013719036593
Canada,2007,m,15-34,_11,Morbidity,0.481886297625412
Canada,2007,m,15-34,_13,Morbidity,0.12309625899635389
Canada,2007,m,15-34,_21,Morbidity,0.5638018847144388
Canada,2007,m,15-34,_22,Morbidity,0.5757074491440148
Canada,2007,m,15-34,_26,Morbidity,0.3520958618463997
Canada,2007,m,15-34,_44,Morbidity,0.32736474888059147
Canada,2007,m,15-34,_45,Morbidity,0.32736474888059147
Canada,2007,m,15-34,_46,Morbidity,0.32736474888059147
Canada,2007,m,15-34,_47,Morbidity,0.32736474888059147
Canada,2007,m,15-34,_54,Morbidity,0.1498756584158405
Canada,2007,m,15-34,_64,Morbidity,0.5038878866395914
Canada,2007,m,15-34,_71,Morbidity,0.2819573583416216
Canada,2007,m,15-34,_81,Morbidity,0.27921519363736097
Canada,2007,m,15-34,_82,Morbidity,0.27921519363736097
Canada,2007,m,15-34,_83,Morbidity,0.27921519363736097
Canada,2007,m,15-34,_84,Morbidity,0.27921519363736097
Canada,2007,m,15-34,_85,Morbidity,0.27921519363736097
Canada,2007,m,15-34,_86,Morbidity,0.27921519363736097
