"cause_name","sex","exposure_grams_per_day","mean_rr","lower_rr","upper_rr"
"Tuberculosis","Both",0,1,1,1
"Tuberculosis","Both",1,1.01931593,0.995692752,1.045199977
"Tuberculosis","Both",2,1.038631861,0.991385504,1.090399955
"Tuberculosis","Both",3,1.057947791,0.987078256,1.135599932
"Tuberculosis","Both",4,1.077263721,0.982771009,1.18079991
"Tuberculosis","Both",5,1.096579652,0.978463761,1.225999887
"Tuberculosis","Both",6,1.115895582,0.974156513,1.271199864
"Tuberculosis","Both",7,1.135211512,0.969849265,1.316399842
"Tuberculosis","Both",8,1.154527443,0.965542017,1.361599819
"Tuberculosis","Both",9,1.173843373,0.961234769,1.406799797
"Tuberculosis","Both",10,1.193159303,0.956927522,1.451999774
"Tuberculosis","Both",11,1.223361265,0.97673226,1.499900024
"Tuberculosis","Both",12,1.253563281,0.996537119,1.547800287
"Tuberculosis","Both",13,1.283765297,1.016341978,1.595700551
"Tuberculosis","Both",14,1.313967313,1.036146837,1.643600814
"Tuberculosis","Both",15,1.34416933,1.055951696,1.691501078
"Tuberculosis","Both",16,1.374371346,1.075756555,1.739401341
"Tuberculosis","Both",17,1.404573362,1.095561413,1.787301605
"Tuberculosis","Both",18,1.434775378,1.115366272,1.835201868
"Tuberculosis","Both",19,1.464977394,1.135171131,1.883102132
"Tuberculosis","Both",20,1.495179973,1.15497625,1.931003026
"Tuberculosis","Both",21,1.536648076,1.179976125,1.991530224
"Tuberculosis","Both",22,1.578116179,1.204976,2.052057421
"Tuberculosis","Both",23,1.619584281,1.229975875,2.112584618
"Tuberculosis","Both",24,1.661052384,1.25497575,2.173111816
"Tuberculosis","Both",25,1.702520487,1.279975625,2.233639013
"Tuberculosis","Both",26,1.743988589,1.3049755,2.294166211
"Tuberculosis","Both",27,1.785456692,1.329975375,2.354693408
"Tuberculosis","Both",28,1.826924795,1.35497525,2.415220605
"Tuberculosis","Both",29,1.868392897,1.379975125,2.475747803
"Tuberculosis","Both",30,1.909861,1.404975,2.536275
"Tuberculosis","Both",31,1.949511402,1.433859856,2.586057251
"Tuberculosis","Both",32,1.989161803,1.462744711,2.635839502
"Tuberculosis","Both",33,2.028812205,1.491629567,2.685621753
"Tuberculosis","Both",34,2.068462607,1.520514422,2.735404004
"Tuberculosis","Both",35,2.108113009,1.549399278,2.785186255
"Tuberculosis","Both",36,2.14776341,1.578284133,2.834968507
"Tuberculosis","Both",37,2.187413812,1.607168989,2.884750758
"Tuberculosis","Both",38,2.227064214,1.636053845,2.934533009
"Tuberculosis","Both",39,2.266714616,1.6649387,2.98431526
"Tuberculosis","Both",40,2.306365017,1.693823556,3.034097511
"Tuberculosis","Both",41,2.349557772,1.719138987,3.093517623
"Tuberculosis","Both",42,2.392750704,1.744454241,3.152938217
"Tuberculosis","Both",43,2.435943636,1.769769494,3.212358812
"Tuberculosis","Both",44,2.479136568,1.795084747,3.271779406
"Tuberculosis","Both",45,2.5223295,1.8204,3.3312
"Tuberculosis","Both",46,2.565522432,1.845715253,3.390620594
"Tuberculosis","Both",47,2.608715364,1.871030506,3.450041188
"Tuberculosis","Both",48,2.651908296,1.896345759,3.509461783
"Tuberculosis","Both",49,2.695101228,1.921661013,3.568882377
"Tuberculosis","Both",50,2.738294047,1.946976119,3.628302939
"Tuberculosis","Both",51,2.779240743,1.969366008,3.687082645
"Tuberculosis","Both",52,2.820187438,1.991755896,3.745862351
"Tuberculosis","Both",53,2.861134133,2.014145784,3.804642057
"Tuberculosis","Both",54,2.902080828,2.036535672,3.863421763
"Tuberculosis","Both",55,2.943027524,2.05892556,3.922201469
"Tuberculosis","Both",56,2.983974219,2.081315448,3.980981176
"Tuberculosis","Both",57,3.024920914,2.103705336,4.039760882
"Tuberculosis","Both",58,3.065867609,2.126095224,4.098540588
"Tuberculosis","Both",59,3.106814305,2.148485112,4.157320294
"Tuberculosis","Both",60,3.147761,2.170875,4.2161
"Tuberculosis","Both",61,3.188148067,2.192071667,4.279203333
"Tuberculosis","Both",62,3.228535133,2.213268333,4.342306667
"Tuberculosis","Both",63,3.2689222,2.234465,4.40541
"Tuberculosis","Both",64,3.309309267,2.255661667,4.468513333
"Tuberculosis","Both",65,3.349696333,2.276858333,4.531616667
"Tuberculosis","Both",66,3.3900834,2.298055,4.59472
"Tuberculosis","Both",67,3.430470467,2.319251667,4.657823333
"Tuberculosis","Both",68,3.470857533,2.340448333,4.720926667
"Tuberculosis","Both",69,3.5112446,2.361645,4.78403
"Tuberculosis","Both",70,3.551631667,2.382841667,4.847133333
"Tuberculosis","Both",71,3.592018733,2.404038333,4.910236667
"Tuberculosis","Both",72,3.6324058,2.425235,4.97334
"Tuberculosis","Both",73,3.672792867,2.446431667,5.036443333
"Tuberculosis","Both",74,3.713179933,2.467628333,5.099546667
"Tuberculosis","Both",75,3.753567,2.488825,5.16265
"Tuberculosis","Both",76,3.793954067,2.510021667,5.225753333
"Tuberculosis","Both",77,3.834341133,2.531218333,5.288856667
"Tuberculosis","Both",78,3.8747282,2.552415,5.35196
"Tuberculosis","Both",79,3.915115267,2.573611667,5.415063333
"Tuberculosis","Both",80,3.955502333,2.594808333,5.478166667
"Tuberculosis","Both",81,3.9958894,2.616005,5.54127
"Tuberculosis","Both",82,4.036276467,2.637201667,5.604373333
"Tuberculosis","Both",83,4.076663533,2.658398333,5.667476667
"Tuberculosis","Both",84,4.1170506,2.679595,5.73058
