x,Australia_m_15-34,Australia_m_35-64,Australia_m_65+,Australia_w_15-34,Australia_w_35-64,Australia_w_65+,Canada_m_15-34,Canada_m_35-64,Canada_m_65+,Canada_w_15-34,Canada_w_35-64,Canada_w_65+
1,-0.0021347943637178056,-0.002417445599311494,-0.0025713162479030004,-0.0038869297528580852,-0.0042665678446946855,-0.004316083030856502,-0.0023987475978595046,-0.0025625146227645974,-0.0027867201561153614,-0.004455144627140067,-0.00459651713590209,-0.0050415139176672435
2,-0.002409695620767671,-0.0027323400952913722,-0.0028982078605641138,-0.004505668610720408,-0.004967332833171688,-0.004976566821733199,-0.0027061543089141236,-0.002891989788193709,-0.003133477711334758,-0.005137187280929246,-0.005325212404433983,-0.005764819497591975
3,-0.002551959917466662,-0.0028974658104865313,-0.003064849021616017,-0.0046686602952414665,-0.005169497609261464,-0.0051292086069298975,-0.0028643499787473696,-0.0030621938322216756,-0.003305714787095795,-0.0052950426636762665,-0.005514745309271934,-0.005892382491133591
4,-0.0026333053922268667,-0.0029937642929529725,-0.0031579435328707734,-0.004633354971335137,-0.0051528047677324145,-0.005063387391742578,-0.0029540328725567704,-0.0031592523623783734,-0.003397972581981048,-0.005227376723888516,-0.005469961327897648,-0.005768546768981288
5,-0.0026788176739607375,-0.003049519647942554,-0.003207850960035976,-0.004494792074373587,-0.005020532360614635,-0.004885878724839079,-0.0030034410645586973,-0.003213294331896845,-0.0034434113575052545,-0.005044392477279677,-0.005303392687460918,-0.005520172374297877
6,-0.002700553149793874,-0.0030783139740371513,-0.003229175515147985,-0.004298931671990517,-0.00482272786932178,-0.0046481604737557336,-0.0030261506960888467,-0.0032388015863139483,-0.003458004795590299,-0.004799222027842136,-0.005069442696933192,-0.005208057421704283
7,-0.0027053407536889455,-0.0030878348473897498,-0.003230195379906322,-0.004071212074585318,-0.004587203324640754,-0.00437856489865011,-0.003029853712042445,-0.0032439776318202596,-0.003450817145288147,-0.00452110988591806,-0.004798206101580225,-0.004865316932770173
8,-0.0026974668208278687,-0.0030829047382450207,-0.003216109473534722,-0.0038268771498963204,-0.004330727276141682,-0.004093926868153228,-0.0030193792097438213,-0.0032339719558895997,-0.0034275452261670687,-0.00422743456955621,-0.004507701925688057,-0.0045113250439794556
9,-0.0026798192698195117,-0.0030667713959451792,-0.003190421861546312,-0.0035755264218785793,-0.004063950001699981,-0.0038047230165331805,-0.0029979812880921827,-0.003212254199489432,-0.0033920301069800484,-0.0039290124260797634,-0.004209263932957914,-0.004157878351962023
10,-0.002654447705293303,-0.003041739212659057,-0.003155619824090075,-0.0033233931136646285,-0.003793867247389263,-0.0035176470700895,-0.002967969607374891,-0.0031812868886249212,-0.003346998183170352,-0.00363275545199754,-0.003910239683877744,-0.00381228790704297
11,-0.002622865928432731,-0.0030095100556967362,-0.003113540279330029,-0.0030745922518679285,-0.0035251694120143765,-0.003237021404458727,-0.0029310500233373734,-0.0031428887992051156,-0.0032944620150887048,-0.0033431280612951607,-0.003615469386373031,-0.003479074212423537
12,-0.002586227832216292,-0.0029713813478339348,-0.0030655829579492792,-0.002831851900270123,-0.0032610319338959954,-0.0029656239070879583,-0.002888522690229403,-0.0030984462499561876,-0.0032359537384883644,-0.0030630004343892457,-0.0033281523157570577,-0.003160959197936449
13,-0.0025454357364548476,-0.002928368005650742,-0.003012841771913731,-0.0025969642989288797,-0.0030036031015978244,-0.002705197708069018,-0.0028414040992807165,-0.0030490432477532606,-0.003172669038014957,-0.002794174582309403,-0.003050381322984692,-0.0028594764286437708
14,-0.0025012102703853797,-0.00288128105709575,-0.0029561896035214066,-0.002371075812394672,-0.002754317840164707,-0.0024567782924204765,-0.0027905058176669025,-0.002995545444859503,-0.003105560160427508,-0.0025377219467597936,-0.00278348631820536,-0.0025753613306383314
15,-0.002454137197566678,-0.0028307802916210283,-0.0028963351518157413,-0.002154879519576024,-0.00251410642812263,-0.002220910277114755,-0.002736487259270024,-0.0029386563984920397,-0.00303539833622499,-0.0022942071333790295,-0.0025282623716792662,-0.0023088084981937457
16,-0.0024046998054778686,-0.0027774106592826225,-0.0028338622783361375,-0.0019487466200722614,-0.0022835371949627287,-0.001997794851388671,-0.0026798921955286537,-0.0028789564893875017,-0.0029628170283555605,-0.002063840088880177,-0.0022851253034223253,-0.002059645523421387
17,-0.002353301924540317,-0.0027216281243927897,-0.0027692579878082785,-0.0017528180978533489,-0.002062916329784346,-0.0017873921969414506,-0.0026211747096689217,-0.002816930583029651,-0.0028883427213112238,-0.0018465818167536878,-0.002054220173448266,-0.0018274526985417301
18,-0.002300284673557032,-0.0026638184615511923,-0.0027029327968511193,-0.0015670698389561961,-0.0018523590308402265,-0.001589493862332992,-0.0025607180822248233,-0.002752988153748165,-0.002812417359354242,-0.0016422190849198891,-0.0018354983143088715,-0.0016116466745688936
19,-0.002245938891643533,-0.0026043112008353043,-0.00263523586678882,-0.001391359591155173,-0.0016518410373585139,-0.00140377461243749,-0.0024988488156024308,-0.0026874782262848967,-0.0027354150365738595,-0.0014504179507632503,-0.0016287728483791095,-0.001411539576053842
20,-0.002190514534704145,-0.002543390160651868,-0.002566466450382153,-0.0012254612469617544,-0.001461236450768115,-0.0012298299752380882,-0.0024358472374152135,-0.0026207006701865604,-0.0026576546373175323,-0.001270762524888193,-0.0014337591871914986,-0.0012263810852159147
21,-0.0021342278918061734,-0.0024813015307116023,-0.0024968826900396853,-0.0010690901192998805,-0.0012803457995258101,-0.0010672036506994206,-0.002371955646259123,-0.0025529148746193924,-0.002579409564735199,-0.001102783271577149,-0.0012501048622475751,-0.0010553885203812658
